Klagenummer,AZ VG,Eingang,Land,Vertretung,Klagegrund,Zusatz,Datum VG,OVG Geschäftszeichen,Datum OVG,PKH Geschäftszeichen,Datum PKH,BVerwG Geschäftszeichen,Datum BVerwG
2022/2119,VG 36 K 0324/22 V,7/26/2022,Pakistan,Islamabad,FZ-E/K,UT,,,,,,,
2022/2118,VG 33 K 0253/22 V,7/26/2022,Syrien,Erbil,FZ-E,Dt,,,,,,,
2022/2116,VG 08 K 0317/22 V,7/26/2022,Syrien,Erbil,FZ-F,SUB,,,,,,,
2022/2115,VG 08 K 0316/22 V,7/26/2022,Syrien,Erbil,FZ-F,SUB,,,,,,,
2022/2111,VG 31 K 0193/22 V,7/26/2022,Afghanistan,Teheran,FZ-E/K,LU,,,,,,,
2022/2110,VG 31 K 0193/22 V,7/26/2022,Afghanistan,Teheran,FZ-E/K,LU,,,,,,,
2022/2109,VG 33 K 0258/22 V,7/26/2022,Kamerun,Jaunde,BES,,,,,,,,
2022/2108,VG 31 K 0193/22 V,7/26/2022,Afghanistan,Teheran,FZ-E/K,LU,,,,,,,
2022/2107,VG 31 K 0193/22 V,7/26/2022,Afghanistan,Teheran,FZ-E/K,LU,,,,,,,
2022/2106,VG 31 K 0193/22 V,7/26/2022,Afghanistan,Teheran,FZ-E/K,LU,,,,,,,
2022/2105,VG 33 K 0261/22 V,7/26/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2124,VG 35 K 0150/22 V,7/25/2022,Bosnien und Herzegowina,Laibach,EWT,EWTunse,9/21/2022,,,,,,
2022/2104,VG 32 K 0132/22 V,7/25/2022,Indien,New Delhi,FZ-E,,,,,,,,
2022/2103,VG 08 K 0305/22 V,7/25/2022,Syrien,Istanbul,FZ-E,SUB,,,,,,,
2022/2102,VG 33 K 0260/22 V,7/25/2022,Syrien,Erbil,FZ-E/K,GFK,,,,OVG 03 M 048/22,,,
2022/2101,VG 33 L 0259/22 V,7/25/2022,Syrien,Erbil,FZ-E/K,GFK,8/8/2022,OVG 03 S 047/22,,,,,
2022/2100,VG 35 K 0145/22 V,7/25/2022,Syrien,Erbil,FZ-F,§ 36 II,,,,,,,
2022/2098,VG 31 K 0189/22 V,7/25/2022,Türkei,Istanbul,BES,,,,,,,,
2022/2097,VG 13 K 0171/22 V,7/25/2022,Eritrea,Addis Abeba,FZ-E/K,GFK,,,,,,,
2022/2096,VG 26 K 0143/22 V,7/25/2022,Eritrea,Addis Abeba,FZ-F,§ 36 II,,,,,,,
2022/2095,VG 26 K 0142/22 V,7/25/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/2094,VG 26 K 0136/22 V,7/25/2022,Äthiopien,Addis Abeba,BES,,,,,,,,
2022/2093,VG 26 K 0139/22 V,7/25/2022,Côte d’Ivoire,Abidjan,BES,,,,,,,,
2022/2092,VG 26 K 0138/22 V,7/25/2022,Äthiopien,Addis Abeba,BES,,,,,,,,
2022/2091,VG 28 AR 0011/22 V,7/25/2022,Türkei,Istanbul,BES,,,,,,,,
2022/2090,VG 28 K 0162/22 V,7/25/2022,Brasilien,Rio de Janeiro,EWT,EWTunse,9/12/2022,,,,,,
2022/2089,VG 26 K 0135/22 V,7/25/2022,Türkei,Istanbul,BES,,8/9/2022,,,,,,
2022/2088,VG 28 K 0161/22 V,7/25/2022,Pakistan,Islamabad,BES,,8/31/2022,,,,,,
2022/2087,VG 28 K 0154/22 V,7/25/2022,Türkei,Ankara,FZ-E,SE,,,,,,,
2022/2086,VG 24 K 0166/22 V,7/25/2022,Türkei,Ankara,BES,,7/29/2022,,,,,,
2022/2085,VG 30 K 0301/22 V,7/25/2022,Kamerun,Jaunde,BES,,,,,,,,
2022/2083,VG 35 K 0148/22 V,7/25/2022,Pakistan,Karachi,BES,,9/7/2022,,,,,,
2022/2082,VG 35 L 0147/22 V ,7/25/2022,Pakistan,Karachi,BES,,8/22/2022,,,,,,
2022/2078,VG 30 K 0297/22 V,7/25/2022,Afghanistan,Teheran,WDE,,,,,,,,
2022/2072,VG 24 K 0164/22 V,7/25/2022,Pakistan,Islamabad,FZ-E,LU,,,,,,,
2022/2341,VG 38 K 0161/22 V,7/24/2022,Eritrea,Addis Abeba,FZ-E,Dt;#URK,,,,,,,
2022/2117,VG 33 K 0251/22 V,7/22/2022,Tunesien,Tunis,FZ-E,SE,,,,,,,
2022/2114,VG 34 K 0203/22 V,7/22/2022,Nordmazedonien,Skopje,EWT,Ausbildung;#Dt,9/16/2022,,,,,,
2022/2113,VG 34 L 0202/22 V,7/22/2022,Nordmazedonien,Skopje,EWT,Ausbildung;#Dt,9/16/2022,,,,,,
2022/2099,VG 31 K 0197/22 V,7/22/2022,Nordmazedonien,Skopje,FZ-F,,,,,,,,
2022/2084,VG 28 K 0160/22 V,7/22/2022,Afghanistan,Teheran,FZ-E,,,,,,,,
2022/2080,VG 28 K 0158/22 V,7/22/2022,Staatenlos,Beirut,FZ-F,§ 36 I,,,,,,,
2022/2079,VG 30 K 0300/22 V,7/22/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/2077,VG 29 K 0121/22 V,7/22/2022,Türkei,Istanbul,BES,,,,,,,,
2022/2076,VG 30 K 0302/22 V,7/22/2022,Türkei,Ankara,BES,,,,,,,,
2022/2075,VG 30 K 0303/22 V,7/22/2022,Türkei,Izmir,BES,,,,,,,,
2022/2074,VG 08 K 0268/22 V,7/22/2022,Syrien,Beirut,FZ-E,SUB;#EHEwi,,,,,,,
2022/2071,VG 24 K 0165/22 V,7/22/2022,Türkei,Izmir,FZ-E,,,,,,,,
2022/2070,VG 30 K 0299/22 V,7/22/2022,Türkei,Ankara,BES,,8/26/2022,,,,,,
2022/2069,VG 30 K 0298/22 V,7/21/2022,Albanien,Tirana,FZ-E,Dt;#Ausw,8/1/2022,,,,,,
2022/2068,VG 29 K 0124/22 V,7/21/2022,Äthiopien,Addis Abeba,FZ-E/K,UT,,,,,,,
2022/2067,VG 29 K 0123/22 V,7/21/2022,Jemen,Maskat,FZ-E,LU;#Dt,,,,,,,
2022/2066,VG 29 K 0122/22 V,7/21/2022,Togo,Lomé,FZ-E,UT,9/19/2022,,,,,,
2022/2065,VG 13 K 0170/22 V,7/21/2022,Eritrea,Addis Abeba,FZ-E/K,,,,,,,,
2022/2064,VG 29 K 0119/22 V,7/21/2022,Sudan,Dubai,BES,,,,,,,,
2022/2262,VG 13 K 0165/22 V,7/20/2022,Türkei,Ankara,BES,,8/9/2022,,,,,,
2022/2062,VG 27 K 0211/22 V,7/20/2022,Pakistan,Islamabad,FZ-E,UT,7/20/2022,,,,,,
2022/2061,VG 29 K 0118/22 V,7/20/2022,Gambia,Dakar,BES,,8/8/2022,,,,,,
2022/2060,VG 29 K 0116/22 V,7/20/2022,Thailand,Bangkok,BES,,8/1/2022,,,,,,
2022/2059,VG 29 K 0115/22 V,7/20/2022,Vietnam,Ho-Chi-Minh-Stadt,?,,,,,,,,
2022/2058,VG 27 K 0212/22 V,7/20/2022,Pakistan,Islamabad,FZ-E,UT,,,,,,,
2022/2057,VG 27 K 0213/22 V,7/20/2022,Pakistan,Islamabad,FZ-E/K,LU,,,,,,,
2022/2055,VG 28 K 0156/22 V,7/20/2022,Sri Lanka,Colombo,BES,,,,,,,,
2022/2054,VG 28 L 0155/22 V,7/20/2022,Sri Lanka,Colombo,BES,,,,,,,,
2022/2053,VG 27 K 0207/22 V,7/20/2022,Armenien,Eriwan,FZ-F,§ 36 I,,,,,,,
2022/2052,VG 27 K 0208/22 V ,7/20/2022,Iran,Teheran,BES,,7/29/2022,,,,,,
2022/2051,VG 27 K 0209/22 V,7/20/2022,Iran,Teheran,BES,,,,,,,,
2022/2122,VG 28 K 0157/22 V,7/19/2022,Pakistan,Islamabad,FZ-K,,7/25/2022,,,,,,
2022/2081,VG 28 K 0159/22 V,7/19/2022,Nordmazedonien,Skopje,EWT,,,,,,,,
2022/2063,VG 29 K 0117/22 V,7/19/2022,Albanien,Tirana,FZ-E,SE,,,,,,,
2022/2050,VG 27 K 0210/22 V,7/19/2022,Kenia,Nairobi,BES,,,,,,,,
2022/2049,VG 24 K 0167/22 V,7/19/2022,Vietnam,Hanoi,FZ-F,EU,,,,,,,
2022/2048,VG 37 K 0008/22 V,7/19/2022,Syrien,Beirut,FZ-E,Dt,8/12/2022,,,,,,
2022/2047,VG 24 K 0169/22 V,7/19/2022,Kamerun,Jaunde,BES,,,,,,,,
2022/2046,VG 26 K 0140/22 V,7/19/2022,Demokratische Republik Kongo,Kinshasa,FZ-E,Dt,,,,,,,
2022/2045,VG 24 K 0168/22 V,7/19/2022,Türkei,Ankara,BES,,,,,,,,
2022/2043,VG 26 L 0141/22 V,7/19/2022,Demokratische Republik Kongo,Kinshasa,FZ-E,Dt,8/29/2022,,,,,,
2022/2042,VG 24 K 0160/22 V,7/19/2022,Syrien,Beirut,FZ-E,Dt,,,,,,,
2022/2041,VG 26 L 0137/22 V,7/19/2022,Afghanistan,Teheran,WDE,UT,8/22/2022,,,,,,
2022/2039,VG 24 K 0161/22 V,7/19/2022,Marokko,Rabat,FZ-K,,10/7/2022,,,,,,
2022/2036,VG 23 K 0287/22 V,7/19/2022,Kamerun,Jaunde,BES,,8/8/2022,,,,,,
2022/2031,VG 22 K 0220/22 V,7/19/2022,Somalia,Nairobi,FZ-F,§ 36 II,,,,,,,
2022/2027,VG 13 K 0167/22 V,7/19/2022,Pakistan,Karachi,FZ-E,,,,,,,,
2022/2038,VG 24 K 0163/22 V,7/18/2022,Marokko,Rabat,FZ-E,,,,,,,,
2022/2037,VG 24 L 0162/22 V,7/18/2022,Marokko,Rabat,FZ-E,,,,,,,,
2022/2035,VG 23 K 0288/22 V,7/18/2022,Afghanistan,OFFEN,SON,§ 22,,,,,,,
2022/2033,VG 22 K 0214/22 V,7/18/2022,Pakistan,Islamabad,FZ-E,GFK,,,,,,,
2022/2032,VG 22 K 0221/22 V ,7/18/2022,Iran,Teheran,BES,,9/8/2022,,,,,,
2022/2030,VG 08 AR 0007/22 V,7/18/2022,Türkei,Istanbul,BES,,7/18/2022,,,,,,
2022/2029,VG 08 K 0286/22 V,7/18/2022,Türkei,Istanbul,BES,,7/21/2022,,,,,,
2022/2028,VG 22 K 0217/22 V,7/18/2022,Türkei,Ankara,BES,,,,,,,,
2022/2026,VG 08 K 0263/22 V,7/18/2022,Afghanistan,New Delhi,FZ-E,SUB,,,,,,,
2022/2016,VG 17 K 0180/22 V ,7/18/2022,Marokko,Rabat,FZ-K,,,,,,,,
2022/2013,VG 21 K 0217/22 V ,7/18/2022,Iran,Teheran,BES,,,,,,,,
2022/1113,VG 25 K 0264/22 V,7/18/2022,Marokko,Rabat,FZ-E,LU,,,,,,,
2022/2040,VG 23 K 0295/22 V,7/15/2022,Afghanistan,Teheran,FZ-E,SUB,,,,,,,
2022/2024,VG 23 K 0291/22 V,7/15/2022,Irak,Bagdad,BES,,,,,,,,
2022/2023,VG 23 K 0294/22 V,7/15/2022,Syrien,Beirut,FZ-E,Dt,,,,,,,
2022/2022,VG 17 K 0181/22 V,7/15/2022,Türkei,Izmir,FZ-E,Dt,,,,,,,
2022/2021,VG 17 K 0179/22 V,7/15/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/2020,VG 21 K 0225/22 V,7/15/2022,Bangladesch,Dhaka,FZ-E,LU,,,,,,,
2022/2019,VG 17 K 0176/22 V,7/15/2022,Kenia,Nairobi,EWT,Au Pair,,,,,,,
2022/2018,VG 17 K 0174/22 V,7/15/2022,Afghanistan,Islamabad,FZ-E/K,UT;#TER,,,,,,,
2022/2017,VG 17 K 0175/22 V,7/15/2022,Türkei,Ankara,FZ-K,,,,,,,,
2022/2015,VG 21 K 0224/22 V,7/15/2022,Sri Lanka,Colombo,BES,,,,,,,,
2022/2014,VG 21 K 0223/22 V,7/15/2022,Türkei,Ankara,FZ-E,Dt;#LU,,,,,,,
2022/2011,VG 21 K 0214/22 V,7/15/2022,Syrien,Beirut,FZ-E,Dt;#LU,8/19/2022,,,,,,
2022/2009,VG 23 K 0293/22 V,7/15/2022,Afghanistan,OFFEN,SON,§ 22;#§ 36 II,8/19/2022,,,OVG 06 M 071/22,,,
2022/2008,VG 23 L 0292/22 V,7/15/2022,Afghanistan,OFFEN,SON,§ 22;#§ 36 II,8/19/2022,,,OVG 06 M 072/22,,,
2022/2034,VG 22 K 0219/22 V,7/14/2022,Tunesien,Tunis,FZ-E,SE,,,,,,,
2022/2007,VG 21 K 0221/22 V,7/14/2022,Iran,Teheran,FZ-E,,,,,,,,
2022/2006,VG 21 K 0222/22 V,7/14/2022,Türkei,Ankara,BES,,8/1/2022,,,,,,
2022/2005,VG 09 K 0225/22 V,7/14/2022,Russland,Moskau,FZ-E,Dt,,,,,,,
2022/2004,VG 14 K 1190/22 V,7/14/2022,Iran,Teheran,BES,,7/25/2022,,,,,,
2022/2003,VG 14 L 1197/22 V,7/14/2022,Iran,Teheran,BES,,7/25/2022,,,,,,
2022/2002,VG 08 L 0309/22 V,7/14/2022,Syrien,Beirut,FZ-F,SUB,9/9/2022,,,,,,
2022/2001,VG 22 L 0218/22 V,7/14/2022,Syrien,Erbil,FZ-E,,8/16/2022,,,,,,
2022/2000,VG 22 L 0216/22 V,7/14/2022,Pakistan,Islamabad,FZ-E,,8/26/2022,,,,,,
2022/1999,VG 19 K 0224/22 V,7/13/2022,Nigeria,Lagos,FZ-E/K,UT,,,,,,,
2022/1998,VG 19 K 0225/22 V,7/13/2022,Syrien,Beirut,BES,,8/8/2022,,,,,,
2022/1996,VG 21 K 0211/22 V,7/13/2022,Türkei,Ankara,BES,,8/16/2022,,,,,,
2022/2012,VG 21 K 0215/22 V,7/12/2022,Nordmazedonien,Skopje,FZ-F,§ 36 II;#Ausw,,,,,,,
2022/1995,VG 16 K 0465/22 V,7/12/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/1993,VG 16 K 0544/22 V,7/12/2022,Irak,Erbil,EWT,EWTse,,,,,,,
2022/1992,VG 19 K 0226/22 V,7/12/2022,Türkei,Ankara,BES,,8/15/2022,,,,,,
2022/1991,VG 16 K 0545/22 V,7/12/2022,Irak,Erbil,EWT,EWTse,,,,,,,
2022/1990,VG 19 K 0227/22 V,7/12/2022,Pakistan,London,BES,,,,,,,,
2022/1989,VG 19 K 0218/22 V,7/12/2022,Palästina,Ramallah,BES,,,,,,,,
2022/1987,VG 18 K 0249/22 V ,7/12/2022,Iran,Teheran,BES,,,,,,,,
2022/1986,VG 18 K 0247/22 V,7/12/2022,Marokko,Rabat,BES,,,,,,,,
2022/1985,VG 18 K 0246/22 V,7/12/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/1984,VG 18 K 0245/22 V,7/12/2022,Türkei,Izmir,BES,,9/20/2022,,,,,,
2022/1983,VG 18 K 0242/22 V,7/12/2022,Afghanistan,Islamabad,FZ-F,§ 36 I;#EuGH,7/21/2022,,,,,,
2022/1982,VG 17 K 0178/22 V,7/12/2022,Kamerun,Jaunde,FZ-E,,,,,,,,
2022/1981,VG 17 L 0177/22 V,7/12/2022,Kamerun,Jaunde,FZ-E,,,,,,,,
2022/1980,VG 37 L 1546/22 V,7/12/2022,Afghanistan,Islamabad,FZ-F,§ 36 I,,,,,,,
2022/1979,VG 18 K 0240/22 V,7/12/2022,Irak,Erbil,FZ-E,,,,,,,,
2022/1978,VG 16 K 0460/22 V,7/12/2022,Türkei,Ankara,FZ-E,Dt,,,,,,,
2022/1977,VG 19 K 0222/12 V,7/12/2022,Sri Lanka,Colombo,EWT,EWTunse,,,,,,,
2022/1974,VG 16 K 0546/22 V ,7/12/2022,Iran,Teheran,BES,,,,,,,,
2022/1963,VG 09 K 0229/22 V ,7/12/2022,Algerien,Algier,FZ-E,,,,,,,,
2022/1988,VG 19 K 0219/22 V,7/11/2022,Ägypten,Kairo,STU,,,,,,,,
2022/1976,VG 16 K 0542/22 V,7/11/2022,Staatenlos,Beirut,FZ-F,§ 36 I,,,,,,,
2022/1975,VG 16 K 0541/22 V,7/11/2022,Pakistan,Islamabad,STU,,,,,,,,
2022/1973,VG 16 K 0540/22 V,7/11/2022,Afghanistan,Islamabad,WDE,§ 22,,,,,,,
2022/1971,VG 19 K 0221/22 V,7/11/2022,Afghanistan,Teheran,FZ-F,§ 36 I;#EuGH,,,,,,,
2022/1970,VG 19 K 0220/22 V,7/11/2022,Tunesien,Tunis,FZ-E,Dt;#SE,,,,,,,
2022/1969,VG 16 K 0461/22 V,7/11/2022,Türkei,Ankara,FZ-E,Dt,,,,,,,
2022/1968,VG 19 L 0223/22 V,7/11/2022,Tunesien,Tunis,FZ-E,Dt,8/5/2022,OVG 12 S 032.22,9/20/2022,,,,
2022/1967,VG 18 K 0239/22 V,7/11/2022,Syrien,Beirut,FZ-E,Eheschl;#Ausw,,,,,,,
2022/1966,VG 18 K 0243/22 V,7/11/2022,Syrien,Ankara,BES,,,,,,,,
2022/1964,VG 14 L 1194/22 V,7/11/2022,Jemen,Kairo,BES,,7/26/2022,,,,,,
2022/1962,VG 18 K 0244/22 V,7/11/2022,Türkei,Ankara,BES,,8/2/2022,,,,,,
2022/1960,VG 12 K 0143/22 V,7/11/2022,Türkei,Ankara,BES,,8/15/2022,,,,,,
2022/1959,VG 18 K 0248/22 V,7/11/2022,Pakistan,Islamabad,BES,,,,,,,,
2022/1958,VG 12 K 0140/22 V,7/11/2022,Somalia,Nairobi,FZ-E,SUB,,,,,,,
2022/1957,VG 12 K 0141/22 V,7/11/2022,Nigeria,Lagos,FZ-E/K,UT,,,,,,,
2022/1953,VG 12 K 0144/22 V,7/11/2022,Irak,Erbil,BES,MED,,,,,,,
2022/1937,VG 14 K 1188/22 V,7/11/2022,Irak,Erbil,BES,MED,,,,,,,
2022/1994,VG 16 K 0457/22 V,7/8/2022,Ägypten,Kairo,FZ-E,SE,,,,,,,
2022/1972,VG 16 K 0539/22 V,7/8/2022,Tunesien,Tunis,?,,,,,,,,
2022/1965,VG 12 K 0142/22 V,7/8/2022,Irak,Erbil,FZ-E,,,,,,,,
2022/1965,VG 16 K 0464/22 V,7/8/2022,Nordmazedonien,Skopje,FZ-E,,,,,,,,
2022/1956,VG 08 K 0352/22 V,7/8/2022,Syrien,Erbil,FZ-E,SUB,,,,,,,
2022/1955,VG 14 L 1192/22 V,7/8/2022,Türkei,Istanbul,BES,,7/25/2022,,,,,,
2022/1954,VG 12 K 0137/22 V,7/8/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/1943,VG 38 K 0103/22 V,7/8/2022,Kosovo,Pristina,FZ-K,,,,,,,,
2022/1942,VG 38 K 0102/22 V,7/8/2022,Kosovo,Pristina,FZ-E,Dt,,,,,,,
2022/1952,VG 17 L 0173/22 V,7/7/2022,Afghanistan,Teheran,FZ-E,UT;#TER,8/8/2022,,,,,,
2022/1951,VG 35 K 0138/22 V,7/7/2022,Gambia,Dakar,FZ-E,UT,,,,,,,
2022/1950,VG 17 L 0182/22 V,7/7/2022,Syrien,Beirut,FZ-K,,7/18/2022,,,,,,
2022/1948,VG 38 K 0104/22 V,7/7/2022,Kamerun,Jaunde,FZ-E,,,,,,,,
2022/1946,VG 15 K 0182/22 V,7/7/2022,Afghanistan,Islamabad,FZ-E,UT;#TER,,,,,,,
2022/1945,VG 09 AR 0019/22 V,7/7/2022,Türkei,OFFEN,BES,,,,,,,,
2022/1944,VG 38 K 0097/22 V,7/7/2022,Indien,New Delhi,FZ-E,Dt,,,,,,,
2022/1941,VG 14 K 1189/22 V,7/7/2022,Kuba,Havanna,BES,,7/18/2022,,,,,,
2022/1940,VG 14 K 1190/22 V ,7/7/2022,Iran,Teheran,BES,,,,,,,,
2022/1938,VG 14 K 1187/22 V,7/7/2022,Syrien,Dubai,BES,,7/15/2022,,,,,,
2022/1937,VG 14 K 1188/22 V,7/7/2022,Irak,Erbil,BES,MED,7/11/2022,,,,,,
2022/1936,VG 08 K 0287/22 V,7/7/2022,Syrien,Erbil,FZ-E/K,SUB,,,,,,,
2022/1935,VG 15 L 0185/22 V,7/7/2022,Türkei,Ankara,BES,,8/24/2022,,,,,,
2022/1934,VG 09 K 0226/22 V,7/7/2022,Türkei,Istanbul,EWT,EWTse,,,,,,,
2022/1933,VG 09 K 0224/22 V,7/7/2022,Marokko,Rabat,FZ-E,VIK,,,,,,,
2022/1932,VG 09 K 0227/22 V,7/7/2022,Ghana,Accra,FZ-E,LU,,,,,,,
2022/1931,VG 09 K 0219/22 V,7/7/2022,Türkei,Ankara,FZ-K,LU,7/31/2022,,,,,,
2022/1925,VG 11 K 0334/22 V,7/7/2022,Pakistan,Islamabad,FZ-E,LU,,,,,,,
2022/1924,VG 07 K 0269/22 V,7/7/2022,Pakistan,Karachi,STU,,,,,,,,
2022/1910,VG 09 K 0220/22 V,7/7/2022,Iran,Teheran,BES,,,,,,,,
2022/1909,VG 14 L 1183/22 V ,7/7/2022,Iran,Teheran,BES,,,,,,,,
2022/1900,VG 37 K 0133/22 V,7/7/2022,Afghanistan,Teheran,BES,,9/16/2022,,,,,,
2022/1939,VG 14 K 1193/22 V,7/6/2022,Jemen,Kairo,BES,,,,,,,,
2022/1930,VG 07 K 0270/22 V,7/6/2022,Syrien,Beirut,FZ-F,§ 36 II,,,,,,,
2022/1929,VG 35 K 0142/22 V,7/6/2022,Syrien,Beirut,FZ-K,,,,,,,,
2022/1928,VG 09 K 0250/22 V,7/6/2022,Afghanistan,Teheran,BES,,,,,,,,
2022/1927,VG 08 K 0288/22 V,7/6/2022,Ghana,Accra,BES,,,,,,,,
2022/1926,VG 11 K 0333/22 V,7/6/2022,Türkei,Ankara,EWT,Ausw;#EWTunse,,,,,,,
2022/1923,VG 15 K 0181/22 V,7/6/2022,Syrien,Beirut,BES,,,,,,,,
2022/1922,VG 15 L 0180/22 V,7/6/2022,Syrien,Beirut,BES,,7/27/2022,,,,,,
2022/1921,VG 07 K 0268/22 V,7/6/2022,Nigeria,Lagos,BES,,7/21/2022,,,,,,
2022/1920,VG 07 K 0267/22 V,7/6/2022,Türkei,Ankara,BES,,8/3/2022,,,,,,
2022/1918,VG 11 K 0332/22 V,7/6/2022,Türkei,Izmir,FZ-K,Dt,,,,,,,
2022/1917,VG 11 K 0327/22 V,7/6/2022,Irak,Erbil,FZ-E,EHEwi,,,,,,,
2022/1916,VG 14 K 1186/22 V,7/6/2022,Tschad,Riad,BES,,9/7/2022,,,,,,
2022/1914,VG 08 AR 0008/22 V,7/6/2022,Türkei,Istanbul,BES,,,,,,,,
2022/1913,VG 08 AR 0009/22 V,7/6/2022,Pakistan,Riad,BES,,,,,,,,
2022/1912,VG 14 K 1184/22 V,7/6/2022,Türkei,Ankara,FZ-K,LU,8/22/2022,,,,,,
2022/1908,VG 37 K 0126/22 V,7/6/2022,Philippinen,Manila,SON,,,,,,,,
2022/1907,VG 37 K 0134/22 V,7/6/2022,Kamerun,Istanbul,FZ-E,ID,,,,,,,
2022/1906,VG 37 K 0130/22 V,7/6/2022,Philippinen,Manila,SON,,,,,,,,
2022/1905,VG 37 K 0128/22 V,7/6/2022,Philippinen,Manila,SON,,,,,,,,
2022/1894,VG 08 K 0290/22 V,7/6/2022,Eritrea,Addis Abeba,FZ-E,SUB,,,,,,,
2022/1883,VG 10 K 0189/22 V,7/6/2022,Kosovo,Pristina,FZ-E/K,,,,,,,,
2022/1904,VG 37 K 0131/22 V,7/5/2022,Philippinen,Manila,SON,,,,,,,,
2022/1903,VG 37 K 0132/22 V,7/5/2022,Syrien,Beirut,FZ-E,Eheschl,,,,,,,
2022/1902,VG 37 K 0131/22 V,7/5/2022,Philippinen,Manila,SON,,,,,,,,
2022/1901,VG 37 K 0127/22 V,7/5/2022,Philippinen,Manila,SON,,,,,,,,
2022/1899,VG 37 K 0135/22 V,7/5/2022,Syrien,Beirut,FZ-E/K,,,,,,,,
2022/1898,VG 38 K 0106/22 V,7/5/2022,Russland,Moskau,BES,,,,,,,,
2022/1897,VG 38 K 0098/22 V,7/5/2022,Syrien,Beirut,FZ-E,LU,,,,,,,
2022/1896,VG 38 K 0099/22 V,7/5/2022,Türkei,Ankara,FZ-K,,,,,,,,
2022/1895,VG 08 K 0282/22 V,7/5/2022,Irak,Erbil,FZ-E/K,SUB,,,,,,,
2022/1893,VG 08 K 0291/22 V,7/5/2022,Syrien,Beirut,FZ-E,SUB;#EHEwi,7/28/2022,,,,,,
2022/1892,VG 38 K 0101/22 V,7/5/2022,Kuba,Havanna,BES,,,,,,,,
2022/1891,VG 10 K 0184/22 V,7/5/2022,Türkei,Istanbul,FZ-E,Dt,,,,,,,
2022/1890,VG 10 K 0186/22 V,7/5/2022,Russland,Moskau,FZ-K,LU,,,,,,,
2022/1889,VG 10 K 0188/22 V,7/5/2022,Russland,Moskau,BES,,,,,,,,
2022/1888,VG 10 K 0190/22 V,7/5/2022,Thailand,Bangkok,BES,,7/14/2022,,,,,,
2022/1887,VG 11 K 0335/22 V,7/5/2022,Türkei,Ankara,FZ-F,dt Ki,,,,,,,
2022/1886,VG 10 K 0183/22 V,7/5/2022,Türkei,Warschau,EWT,Ausw;#EWTunse;#LKW,,,,,,,
2022/1885,VG 11 K 0336/22 V,7/5/2022,Afghanistan,Islamabad,FZ-E,SE,,,,,,,
2022/1884,VG 09 L 0223/22 V ,7/5/2022,Iran,Teheran,BES,,9/30/2022,,,,,,
2022/1882,VG 06 K 0186/22 V,7/5/2022,Türkei,Ankara,FZ-E,LU,,,,,,,
2022/1881,VG 10 K 0187/22 V,7/5/2022,Afghanistan,Teheran,FZ-E,Dt,,,,,,,
2022/1880,VG 10 K 0185/22 V,7/5/2022,Syrien,Istanbul,WDE,,,,,,,,
2022/1879,VG 10 K 0182/22 V,7/5/2022,Bangladesch,Dhaka,FZ-E/K,UT,,,,,,,
2022/1878,VG 10 L 0181/22 V,7/5/2022,Bangladesch,Dhaka,FZ-E/K,UT,8/12/2022,,,,,,
2022/1877,VG 08 AR 0006/22 V,7/5/2022,Türkei,Istanbul,BES,,7/18/2022,,,,,,
2022/1871,VG 35 K 0141/22 V,7/5/2022,Kuba,Havanna,BES,,,,,,,,
2022/1911,VG 08 K 0285/22 V,7/4/2022,Syrien,Istanbul,WDE,,,,,,,,
2022/1876,VG 12 K 0139/22 V,7/4/2022,Afghanistan,Los Angeles,BES,,8/11/2022,,,,,,
2022/1875,VG 12 L 0138/22 V,7/4/2022,Afghanistan,Los Angeles,BES,,7/21/2022,,,,,,
2022/1874,VG 35 K 0134/22 V,7/4/2022,Thailand,Bangkok,BES,,7/27/2022,,,,,,
2022/1873,VG 35 K 0137/22 V,7/4/2022,Thailand,Bangkok,SPR,UT,,,,,,,
2022/1872,VG 38 K 0100/22 V ,7/4/2022,Marokko,Rabat,WDE,,,,,,,,
2022/1870,VG 11 K 0328/22 V,7/4/2022,Syrien,Beirut,SPR,,,,,,,,
2022/1869,VG 35 K 0143/22 V,7/4/2022,Iran,Teheran,BES,,,,,,,,
2022/1868,VG 35 K 0140/22 V,7/4/2022,Ukraine,Warschau,FZ-E,SE,,,,,,,
2022/1867,VG 11 K 0331/22 V,7/4/2022,Russland,OFFEN,BES,,,,,,,,
2022/1866,VG 08 K 0281/22 V,7/4/2022,Jemen,Kairo,FZ-E/K,SUB,,,,,,,
2022/1865,VG 07 K 0265/22 V,7/4/2022,Nepal,Kathmandu,FZ-E,SE,,,,,,,
2022/1864,VG 39 K 0260/22 V,7/4/2022,Philippinen,Manila,SON,,,,,,,,
2021/0307,VG 17 AR 0004/21 V,7/4/2022,OFFEN,OFFEN,BES,,,,,,,,
2022/1915,VG 11 K 0330/22 V,7/1/2022,Bosnien und Herzegowina,Sarajewo,FZ-F,,,,,,,,
